Time,Channel,nodeId,ADCChannel,ADCData,ADCDataConverted
1.2,0,3,3,17,0.004150390625
1.3,0,3,4,20,0.0048828125
1.4,0,3,5,28,0.0068359375
1.5,0,3,6,27,0.006591796875
1.6,0,3,7,20,0.0048828125
1.7,0,3,8,19,0.004638671875
1.8,0,3,9,29,0.007080078125
1.9,0,3,10,28,0.0068359375
2.0,0,3,11,22,0.00537109375
2.1,0,3,12,18,0.00439453125
2.2,0,3,13,23,0.005615234375
2.3,0,3,14,27,0.006591796875
2.4,0,3,15,17,0.004150390625
2.5,0,3,16,18,0.00439453125
2.6,0,3,17,3036,0.7412109375
2.7,0,3,18,28,0.0068359375
2.8,0,3,19,19,0.004638671875
2.9,0,3,20,11,0.002685546875
3.0,0,3,21,15,0.003662109375
3.1,0,3,22,24,0.005859375
3.3,0,3,23,19,0.004638671875
3.4,0,3,24,16,0.00390625
3.5,0,3,25,17,0.004150390625
3.6,0,3,26,25,0.006103515625
3.7,0,3,27,22,0.00537109375
3.8,0,3,28,13,0.003173828125
3.9,0,3,29,14,0.00341796875
4.0,0,3,30,15,0.003662109375
4.1,0,3,31,24,0.005859375
4.2,0,3,32,7,0.001708984375
4.3,0,3,33,17,0.004150390625
4.4,0,3,34,29,0.007080078125
5.7,0,3,3,21,0.005126953125
5.8,0,3,4,15,0.003662109375
5.9,0,3,5,21,0.005126953125
6.0,0,3,6,26,0.00634765625
6.1,0,3,7,24,0.005859375
6.2,0,3,8,19,0.004638671875
6.3,0,3,9,24,0.005859375
6.4,0,3,10,29,0.007080078125
6.5,0,3,11,25,0.006103515625
6.6,0,3,12,20,0.0048828125
6.7,0,3,13,22,0.00537109375
6.8,0,3,14,29,0.007080078125
6.9,0,3,15,22,0.00537109375
7.0,0,3,16,15,0.003662109375
7.1,0,3,17,3034,0.74072265625
7.2,0,3,18,25,0.006103515625
7.3,0,3,19,26,0.00634765625
7.4,0,3,20,13,0.003173828125
7.5,0,3,21,13,0.003173828125
7.6,0,3,22,25,0.006103515625
7.8,0,3,23,32,0.0078125
7.9,0,3,24,16,0.00390625
8.0,0,3,25,12,0.0029296875
8.1,0,3,26,19,0.004638671875
8.2,0,3,27,28,0.0068359375
8.3,0,3,28,17,0.004150390625
8.4,0,3,29,11,0.002685546875
8.5,0,3,30,17,0.004150390625
8.6,0,3,31,23,0.005615234375
8.7,0,3,32,20,0.0048828125
8.8,0,3,33,16,0.00390625
8.9,0,3,34,18,0.00439453125
10.1,0,3,3,27,0.006591796875
10.3,0,3,4,25,0.006103515625
10.4,0,3,5,18,0.00439453125
10.5,0,3,6,21,0.005126953125
10.6,0,3,7,22,0.00537109375
10.7,0,3,8,29,0.007080078125
10.8,0,3,9,25,0.006103515625
10.9,0,3,10,24,0.005859375
11.0,0,3,11,25,0.006103515625
11.1,0,3,12,32,0.0078125
11.2,0,3,13,24,0.005859375
11.3,0,3,14,20,0.0048828125
11.4,0,3,15,23,0.005615234375
11.5,0,3,16,28,0.0068359375
11.6,0,3,17,3032,0.740234375
11.7,0,3,18,12,0.0029296875
11.8,0,3,19,20,0.0048828125
11.9,0,3,20,24,0.005859375
12.0,0,3,21,19,0.004638671875
12.1,0,3,22,14,0.00341796875
12.2,0,3,23,20,0.0048828125
12.3,0,3,24,23,0.005615234375
12.5,0,3,25,20,0.0048828125
12.6,0,3,26,14,0.00341796875
12.7,0,3,27,15,0.003662109375
12.8,0,3,28,20,0.0048828125
12.9,0,3,29,19,0.004638671875
13.0,0,3,30,7,0.001708984375
13.1,0,3,31,14,0.00341796875
13.2,0,3,32,28,0.0068359375
13.3,0,3,33,26,0.00634765625
13.4,0,3,34,10,0.00244140625
