Time,Channel,nodeId,ADCChannel,ADCData,ADCDataConverted
0.0,0,1,1,395,0.082
0.0,0,1,2,392,0.081
0.0,0,1,3,379,0.079
0.0,0,1,4,367,0.076
0.0,0,1,5,347,0.072
0.0,0,1,6,324,0.067
0.0,0,1,7,335,0.07
0.0,0,1,8,336,0.07
0.0,0,1,9,32,0.007
0.0,0,1,10,32,0.007
0.0,0,1,11,31,0.006
0.0,0,1,12,31,0.006
0.1,0,1,13,32,0.007
0.1,0,1,14,390,0.081
0.1,0,1,15,399,0.083
0.1,0,1,16,0,0.0
0.1,0,1,17,0,0.0
0.1,0,1,18,0,0.0
0.1,0,1,19,0,0.0
0.1,0,1,20,0,0.0
0.1,0,1,21,0,0.0
0.1,0,1,22,1,0.0
0.1,0,1,23,1,0.0
0.1,0,1,24,4,0.001
0.1,0,1,25,3,0.001
0.1,0,1,26,3,0.001
0.1,0,1,27,4,0.001
0.1,0,1,28,0,0.0
0.1,0,1,29,16,0.003
0.1,0,1,30,4,0.001
0.1,0,1,31,22,0.005
0.1,0,1,32,0,0.0
0.1,0,1,1,394,0.082
0.1,0,1,2,392,0.081
0.2,0,1,3,379,0.079
0.2,0,1,4,366,0.076
0.2,0,1,5,347,0.072
0.2,0,1,6,325,0.067
0.2,0,1,7,335,0.07
0.2,0,1,8,336,0.07
0.2,0,1,9,32,0.007
0.2,0,1,10,32,0.007
0.2,0,1,11,31,0.006
0.2,0,1,12,31,0.006
0.2,0,1,13,31,0.006
0.2,0,1,14,390,0.081
0.2,0,1,15,399,0.083
0.2,0,1,16,0,0.0
0.2,0,1,17,0,0.0
0.2,0,1,18,0,0.0
0.2,0,1,19,0,0.0
0.2,0,1,20,0,0.0
0.2,0,1,21,0,0.0
0.2,0,1,22,1,0.0
0.2,0,1,23,1,0.0
0.2,0,1,24,3,0.001
0.2,0,1,25,3,0.001
0.2,0,1,26,4,0.001
0.3,0,1,27,3,0.001
0.3,0,1,28,0,0.0
0.3,0,1,29,16,0.003
0.3,0,1,30,4,0.001
0.3,0,1,31,21,0.004
0.3,0,1,32,0,0.0
0.3,0,1,1,395,0.082
0.3,0,1,2,391,0.081
0.3,0,1,3,379,0.079
0.3,0,1,4,366,0.076
0.3,0,1,5,347,0.072
0.3,0,1,6,325,0.067
0.3,0,1,7,335,0.07
0.3,0,1,8,336,0.07
0.3,0,1,9,32,0.007
0.3,0,1,10,32,0.007
0.3,0,1,11,32,0.007
0.3,0,1,12,31,0.006
0.3,0,1,13,31,0.006
0.3,0,1,14,390,0.081
0.3,0,1,15,400,0.083
0.3,0,1,16,0,0.0
0.3,0,1,17,0,0.0
0.3,0,1,18,0,0.0
0.3,0,1,19,0,0.0
0.3,0,1,20,0,0.0
0.4,0,1,21,0,0.0
0.4,0,1,22,1,0.0
0.4,0,1,23,1,0.0
0.4,0,1,24,4,0.001
0.4,0,1,25,3,0.001
0.4,0,1,26,4,0.001
0.4,0,1,27,4,0.001
0.4,0,1,28,0,0.0
0.4,0,1,29,17,0.004
0.4,0,1,30,4,0.001
0.4,0,1,31,22,0.005
0.4,0,1,32,0,0.0
0.4,0,1,1,395,0.082
0.4,0,1,2,392,0.081
0.4,0,1,3,378,0.078
0.4,0,1,4,365,0.076
0.4,0,1,5,346,0.072
0.4,0,1,6,325,0.067
0.4,0,1,7,334,0.069
0.4,0,1,8,335,0.07
0.4,0,1,9,32,0.007
0.4,0,1,10,32,0.007
0.4,0,1,11,31,0.006
0.4,0,1,12,31,0.006
0.4,0,1,13,31,0.006
0.5,0,1,14,390,0.081
0.5,0,1,15,400,0.083
0.5,0,1,16,0,0.0
0.5,0,1,17,0,0.0
0.5,0,1,18,0,0.0
0.5,0,1,19,0,0.0
0.5,0,1,20,0,0.0
0.5,0,1,21,0,0.0
0.5,0,1,22,1,0.0
0.5,0,1,23,1,0.0
0.5,0,1,24,3,0.001
0.5,0,1,25,3,0.001
0.5,0,1,26,3,0.001
0.5,0,1,27,3,0.001
0.5,0,1,28,0,0.0
0.5,0,1,29,18,0.004
0.5,0,1,30,4,0.001
0.5,0,1,31,21,0.004
0.5,0,1,32,0,0.0
0.5,0,1,1,395,0.082
0.5,0,1,2,392,0.081
0.5,0,1,3,379,0.079
0.5,0,1,4,366,0.076
0.5,0,1,5,347,0.072
0.5,0,1,6,325,0.067
0.6,0,1,7,335,0.07
0.6,0,1,8,336,0.07
0.6,0,1,9,32,0.007
0.6,0,1,10,32,0.007
0.6,0,1,11,31,0.006
0.6,0,1,12,31,0.006
0.6,0,1,13,31,0.006
0.6,0,1,14,389,0.081
0.6,0,1,15,399,0.083
0.6,0,1,16,0,0.0
0.6,0,1,17,0,0.0
0.6,0,1,18,0,0.0
0.6,0,1,19,0,0.0
0.6,0,1,20,0,0.0
0.6,0,1,21,0,0.0
0.6,0,1,22,0,0.0
0.6,0,1,23,1,0.0
0.6,0,1,24,4,0.001
0.6,0,1,25,3,0.001
0.6,0,1,26,3,0.001
0.6,0,1,27,3,0.001
0.6,0,1,28,0,0.0
0.6,0,1,29,17,0.004
0.7,0,1,30,4,0.001
0.7,0,1,31,22,0.005
0.7,0,1,32,0,0.0
0.7,0,1,1,395,0.082
0.7,0,1,2,391,0.081
0.7,0,1,3,379,0.079
0.7,0,1,4,366,0.076
0.7,0,1,5,347,0.072
0.7,0,1,6,325,0.067
0.7,0,1,7,335,0.07
0.7,0,1,8,335,0.07
0.7,0,1,9,32,0.007
0.7,0,1,10,32,0.007
0.7,0,1,11,31,0.006
0.7,0,1,12,31,0.006
0.7,0,1,13,31,0.006
0.7,0,1,14,389,0.081
0.7,0,1,15,400,0.083
0.7,0,1,16,0,0.0
0.7,0,1,17,0,0.0
0.7,0,1,18,0,0.0
0.7,0,1,19,0,0.0
0.7,0,1,20,0,0.0
0.8,0,1,21,0,0.0
0.8,0,1,22,1,0.0
0.8,0,1,23,1,0.0
0.8,0,1,24,3,0.001
0.8,0,1,25,3,0.001
0.8,0,1,26,4,0.001
0.8,0,1,27,3,0.001
0.8,0,1,28,0,0.0
0.8,0,1,29,16,0.003
0.8,0,1,30,4,0.001
0.8,0,1,31,22,0.005
0.8,0,1,32,0,0.0
0.8,0,1,1,395,0.082
0.8,0,1,2,391,0.081
0.8,0,1,3,379,0.079
0.8,0,1,4,366,0.076
0.8,0,1,5,347,0.072
0.8,0,1,6,325,0.067
0.8,0,1,7,334,0.069
0.8,0,1,8,336,0.07
0.8,0,1,9,32,0.007
0.8,0,1,10,33,0.007
0.8,0,1,11,31,0.006
0.9,0,1,12,31,0.006
0.9,0,1,13,32,0.007
0.9,0,1,14,389,0.081
0.9,0,1,15,400,0.083
0.9,0,1,16,0,0.0
0.9,0,1,17,0,0.0
0.9,0,1,18,0,0.0
0.9,0,1,19,0,0.0
0.9,0,1,20,0,0.0
0.9,0,1,21,0,0.0
0.9,0,1,22,1,0.0
0.9,0,1,23,1,0.0
0.9,0,1,24,3,0.001
0.9,0,1,25,3,0.001
0.9,0,1,26,3,0.001
0.9,0,1,27,4,0.001
0.9,0,1,28,0,0.0
0.9,0,1,29,18,0.004
0.9,0,1,30,4,0.001
0.9,0,1,31,21,0.004
0.9,0,1,32,0,0.0
0.9,0,1,1,395,0.082
1.0,0,1,2,392,0.081
1.0,0,1,3,379,0.079
1.0,0,1,4,366,0.076
1.0,0,1,5,347,0.072
1.0,0,1,6,325,0.067
1.0,0,1,7,335,0.07
1.0,0,1,8,336,0.07
1.0,0,1,9,32,0.007
1.0,0,1,10,32,0.007
1.0,0,1,11,32,0.007
1.0,0,1,12,31,0.006
1.0,0,1,13,31,0.006
1.0,0,1,14,390,0.081
1.0,0,1,15,400,0.083
1.0,0,1,16,0,0.0
1.0,0,1,17,0,0.0
1.0,0,1,18,0,0.0
1.0,0,1,19,0,0.0
1.0,0,1,20,0,0.0
1.0,0,1,21,0,0.0
1.0,0,1,22,1,0.0
1.0,0,1,23,1,0.0
1.0,0,1,24,4,0.001
1.1,0,1,25,3,0.001
1.1,0,1,26,4,0.001
1.1,0,1,27,4,0.001
1.1,0,1,28,0,0.0
1.1,0,1,29,17,0.004
1.1,0,1,30,5,0.001
1.1,0,1,31,22,0.005
1.1,0,1,32,0,0.0
1.1,0,1,1,395,0.082
1.1,0,1,2,392,0.081
1.1,0,1,3,379,0.079
1.1,0,1,4,366,0.076
1.1,0,1,5,347,0.072
1.1,0,1,6,324,0.067
1.1,0,1,7,334,0.069
1.1,0,1,8,336,0.07
1.1,0,1,9,32,0.007
1.1,0,1,10,33,0.007
1.1,0,1,11,31,0.006
1.1,0,1,12,32,0.007
1.1,0,1,13,32,0.007
1.1,0,1,14,389,0.081
1.1,0,1,15,399,0.083
1.1,0,1,16,0,0.0
1.2,0,1,17,0,0.0
1.2,0,1,18,0,0.0
1.2,0,1,19,0,0.0
1.2,0,1,20,0,0.0
1.2,0,1,21,0,0.0
1.2,0,1,22,1,0.0
1.2,0,1,23,1,0.0
1.2,0,1,24,3,0.001
1.2,0,1,25,3,0.001
1.2,0,1,26,4,0.001
1.2,0,1,27,3,0.001
1.2,0,1,28,0,0.0
1.2,0,1,29,16,0.003
1.2,0,1,30,3,0.001
1.2,0,1,31,21,0.004
1.2,0,1,32,0,0.0
1.2,0,1,1,395,0.082
1.2,0,1,2,391,0.081
1.2,0,1,3,379,0.079
1.2,0,1,4,366,0.076
1.2,0,1,5,347,0.072
1.2,0,1,6,325,0.067
1.2,0,1,7,334,0.069
1.3,0,1,8,335,0.07
1.3,0,1,9,32,0.007
1.3,0,1,10,33,0.007
1.3,0,1,11,32,0.007
1.3,0,1,12,32,0.007
1.3,0,1,13,31,0.006
1.3,0,1,14,389,0.081
1.3,0,1,15,399,0.083
1.3,0,1,16,0,0.0
1.3,0,1,17,0,0.0
1.3,0,1,18,0,0.0
1.3,0,1,19,0,0.0
1.3,0,1,20,0,0.0
1.3,0,1,21,0,0.0
1.3,0,1,22,1,0.0
1.3,0,1,23,1,0.0
1.3,0,1,24,4,0.001
1.3,0,1,25,3,0.001
1.3,0,1,26,4,0.001
1.3,0,1,27,3,0.001
1.3,0,1,28,0,0.0
1.3,0,1,29,17,0.004
1.3,0,1,30,3,0.001
1.4,0,1,31,22,0.005
1.4,0,1,32,0,0.0
1.4,0,1,1,395,0.082
1.4,0,1,2,392,0.081
1.4,0,1,3,379,0.079
1.4,0,1,4,367,0.076
1.4,0,1,5,347,0.072
1.4,0,1,6,325,0.067
1.4,0,1,7,335,0.07
1.4,0,1,8,335,0.07
1.4,0,1,9,32,0.007
1.4,0,1,10,33,0.007
1.4,0,1,11,32,0.007
1.4,0,1,12,32,0.007
1.4,0,1,13,32,0.007
1.4,0,1,14,389,0.081
1.4,0,1,15,399,0.083
1.4,0,1,16,0,0.0
1.4,0,1,17,0,0.0
1.4,0,1,18,0,0.0
1.4,0,1,19,0,0.0
1.4,0,1,20,0,0.0
1.4,0,1,21,0,0.0
1.5,0,1,22,1,0.0
1.5,0,1,23,0,0.0
1.5,0,1,24,3,0.001
1.5,0,1,25,3,0.001
1.5,0,1,26,4,0.001
1.5,0,1,27,4,0.001
1.5,0,1,28,0,0.0
1.5,0,1,29,18,0.004
1.5,0,1,30,4,0.001
1.5,0,1,31,22,0.005
1.5,0,1,32,0,0.0
1.5,0,1,1,394,0.082
1.5,0,1,2,392,0.081
1.5,0,1,3,380,0.079
1.5,0,1,4,366,0.076
1.5,0,1,5,347,0.072
1.5,0,1,6,325,0.067
1.5,0,1,7,335,0.07
1.5,0,1,8,336,0.07
1.5,0,1,9,32,0.007
1.5,0,1,10,33,0.007
1.5,0,1,11,32,0.007
1.5,0,1,12,32,0.007
1.6,0,1,13,32,0.007
1.6,0,1,14,390,0.081
1.6,0,1,15,399,0.083
1.6,0,1,16,0,0.0
1.6,0,1,17,0,0.0
1.6,0,1,18,0,0.0
1.6,0,1,19,0,0.0
1.6,0,1,20,0,0.0
1.6,0,1,21,0,0.0
1.6,0,1,22,1,0.0
1.6,0,1,23,1,0.0
1.6,0,1,24,3,0.001
1.6,0,1,25,3,0.001
1.6,0,1,26,4,0.001
1.6,0,1,27,4,0.001
1.6,0,1,28,0,0.0
1.6,0,1,29,17,0.004
1.6,0,1,30,3,0.001
1.6,0,1,31,21,0.004
1.6,0,1,32,0,0.0
1.6,0,1,1,395,0.082
1.6,0,1,2,391,0.081
1.6,0,1,3,378,0.078
1.6,0,1,4,366,0.076
1.6,0,1,5,347,0.072
1.7,0,1,6,325,0.067
1.7,0,1,7,335,0.07
1.7,0,1,8,336,0.07
1.7,0,1,9,33,0.007
1.7,0,1,10,33,0.007
1.7,0,1,11,32,0.007
1.7,0,1,12,31,0.006
1.7,0,1,13,32,0.007
1.7,0,1,14,389,0.081
1.7,0,1,15,400,0.083
1.7,0,1,16,0,0.0
1.7,0,1,17,0,0.0
1.7,0,1,18,0,0.0
1.7,0,1,19,0,0.0
1.7,0,1,20,0,0.0
1.7,0,1,21,0,0.0
1.7,0,1,22,1,0.0
1.7,0,1,23,1,0.0
1.7,0,1,24,4,0.001
1.7,0,1,25,3,0.001
1.7,0,1,26,4,0.001
1.7,0,1,27,3,0.001
1.7,0,1,28,0,0.0
1.7,0,1,29,16,0.003
1.7,0,1,30,4,0.001
1.7,0,1,31,21,0.004
1.8,0,1,32,0,0.0
1.8,0,1,1,395,0.082
1.8,0,1,2,392,0.081
1.8,0,1,3,379,0.079
1.8,0,1,4,366,0.076
1.8,0,1,5,347,0.072
1.8,0,1,6,325,0.067
1.8,0,1,7,334,0.069
1.8,0,1,8,335,0.07
1.8,0,1,9,33,0.007
1.8,0,1,10,33,0.007
1.8,0,1,11,32,0.007
1.8,0,1,12,32,0.007
1.8,0,1,13,32,0.007
1.8,0,1,14,389,0.081
1.8,0,1,15,399,0.083
1.8,0,1,16,0,0.0
1.8,0,1,17,0,0.0
1.8,0,1,18,0,0.0
1.8,0,1,19,0,0.0
1.8,0,1,20,0,0.0
1.8,0,1,21,0,0.0
1.8,0,1,22,1,0.0
1.9,0,1,23,1,0.0
1.9,0,1,24,4,0.001
1.9,0,1,25,3,0.001
1.9,0,1,26,4,0.001
1.9,0,1,27,4,0.001
1.9,0,1,28,0,0.0
1.9,0,1,29,16,0.003
1.9,0,1,30,4,0.001
1.9,0,1,31,21,0.004
1.9,0,1,32,0,0.0
1.9,0,1,1,394,0.082
1.9,0,1,2,392,0.081
1.9,0,1,3,379,0.079
1.9,0,1,4,366,0.076
1.9,0,1,5,347,0.072
1.9,0,1,6,325,0.067
1.9,0,1,7,335,0.07
1.9,0,1,8,335,0.07
1.9,0,1,9,33,0.007
1.9,0,1,10,33,0.007
1.9,0,1,11,32,0.007
1.9,0,1,12,32,0.007
2.0,0,1,13,32,0.007
2.0,0,1,14,389,0.081
2.0,0,1,15,399,0.083
2.0,0,1,16,0,0.0
2.0,0,1,17,0,0.0
2.0,0,1,18,0,0.0
2.0,0,1,19,0,0.0
2.0,0,1,20,0,0.0
2.0,0,1,21,0,0.0
2.0,0,1,22,1,0.0
2.0,0,1,23,1,0.0
2.0,0,1,24,4,0.001
2.0,0,1,25,3,0.001
2.0,0,1,26,4,0.001
2.0,0,1,27,4,0.001
2.0,0,1,28,0,0.0
2.0,0,1,29,17,0.004
2.0,0,1,30,4,0.001
2.0,0,1,31,21,0.004
2.0,0,1,32,0,0.0
2.0,0,1,1,395,0.082
2.0,0,1,2,392,0.081
2.0,0,1,3,379,0.079
2.1,0,1,4,366,0.076
2.1,0,1,5,347,0.072
2.1,0,1,6,325,0.067
2.1,0,1,7,334,0.069
2.1,0,1,8,335,0.07
2.1,0,1,9,33,0.007
2.1,0,1,10,33,0.007
2.1,0,1,11,32,0.007
