Time,Channel,nodeId,ADCChannel,ADCData,ADCDataConverted
0.0,0,1,3,64,0.531
0.0,0,1,4,1509,12.526
0.0,0,1,5,847,7.031
0.0,0,1,6,1531,12.708
0.0,0,1,7,1517,12.592
0.0,0,1,8,1395,11.58
0.0,0,1,9,1521,12.625
0.1,0,1,10,2027,16.826
0.1,0,1,11,2192,18.195
0.1,0,1,12,2,0.017
0.1,0,1,13,2,0.017
0.1,0,1,14,1,0.008
0.1,0,1,15,1,0.008
0.1,0,1,16,1,0.008
0.1,0,1,17,2,0.017
0.1,0,1,18,2236,18.561
0.1,0,1,19,0,0.0
0.1,0,1,20,128,1.062
0.1,0,1,21,262,2.175
0.1,0,1,22,395,3.279
0.1,0,1,23,536,4.449
0.1,0,1,24,678,5.628
0.1,0,1,25,820,6.807
0.1,0,1,26,964,8.002
0.2,0,1,27,1118,9.28
0.2,0,1,28,1272,10.559
0.2,0,1,29,1423,11.812
0.2,0,1,30,1578,13.099
0.2,0,1,31,1737,14.418
0.2,0,1,32,1901,15.78
0.2,0,1,33,2063,17.125
0.2,0,1,34,2223,18.453
0.2,0,1,3,64,0.531
0.3,0,1,4,1484,12.318
0.3,0,1,5,834,6.923
0.3,0,1,6,1511,12.542
0.3,0,1,7,1501,12.459
0.3,0,1,8,1384,11.488
0.3,0,1,9,1509,12.526
0.3,0,1,10,2012,16.701
0.3,0,1,11,2174,18.046
0.3,0,1,12,1,0.008
0.3,0,1,13,1,0.008
0.3,0,1,14,1,0.008
0.3,0,1,15,0,0.0
0.3,0,1,16,1,0.008
0.3,0,1,17,2,0.017
0.3,0,1,18,2226,18.478
0.3,0,1,19,0,0.0
0.3,0,1,20,129,1.071
0.3,0,1,21,263,2.183
0.4,0,1,22,395,3.279
0.4,0,1,23,536,4.449
0.4,0,1,24,678,5.628
0.4,0,1,25,819,6.798
0.4,0,1,26,965,8.01
0.4,0,1,27,1117,9.272
0.4,0,1,28,1269,10.534
0.4,0,1,29,1424,11.82
0.4,0,1,30,1576,13.082
0.4,0,1,31,1735,14.402
0.4,0,1,32,1900,15.771
0.4,0,1,33,2064,17.133
0.4,0,1,34,2224,18.461
0.5,0,1,3,64,0.531
0.5,0,1,4,1481,12.293
0.5,0,1,5,833,6.915
0.5,0,1,6,1512,12.551
0.5,0,1,7,1500,12.451
0.5,0,1,8,1381,11.463
0.5,0,1,9,1510,12.534
0.5,0,1,10,2011,16.693
0.5,0,1,11,2177,18.071
0.5,0,1,12,2,0.017
0.5,0,1,13,2,0.017
0.5,0,1,14,1,0.008
0.5,0,1,15,0,0.0
0.6,0,1,16,1,0.008
0.6,0,1,17,2,0.017
0.6,0,1,18,2224,18.461
0.6,0,1,19,0,0.0
0.6,0,1,20,128,1.062
0.6,0,1,21,262,2.175
0.6,0,1,22,396,3.287
0.6,0,1,23,535,4.441
0.6,0,1,24,679,5.636
0.6,0,1,25,819,6.798
0.6,0,1,26,966,8.019
0.6,0,1,27,1118,9.28
0.6,0,1,28,1271,10.55
0.6,0,1,29,1426,11.837
0.6,0,1,30,1577,13.09
0.6,0,1,31,1740,14.443
0.6,0,1,32,1900,15.771
0.7,0,1,33,2062,17.116
0.7,0,1,34,2228,18.494
0.7,0,1,3,64,0.531
0.7,0,1,4,1482,12.302
0.7,0,1,5,833,6.915
0.7,0,1,6,1512,12.551
0.7,0,1,7,1499,12.443
0.7,0,1,8,1382,11.472
0.7,0,1,9,1509,12.526
0.7,0,1,10,2009,16.676
0.8,0,1,11,2174,18.046
0.8,0,1,12,3,0.025
0.8,0,1,13,1,0.008
0.8,0,1,14,2,0.017
0.8,0,1,15,0,0.0
0.8,0,1,16,1,0.008
0.8,0,1,17,2,0.017
0.8,0,1,18,2224,18.461
0.8,0,1,19,0,0.0
0.8,0,1,20,128,1.062
0.8,0,1,21,262,2.175
0.8,0,1,22,395,3.279
0.8,0,1,23,536,4.449
0.8,0,1,24,678,5.628
0.8,0,1,25,819,6.798
0.8,0,1,26,965,8.01
0.8,0,1,27,1117,9.272
0.8,0,1,28,1270,10.542
0.8,0,1,29,1422,11.804
0.8,0,1,30,1577,13.09
0.9,0,1,31,1738,14.427
0.9,0,1,32,1899,15.763
0.9,0,1,33,2062,17.116
0.9,0,1,34,2224,18.461
0.9,0,1,3,64,0.531
0.9,0,1,4,1480,12.285
0.9,0,1,5,832,6.906
0.9,0,1,6,1510,12.534
0.9,0,1,7,1499,12.443
0.9,0,1,8,1382,11.472
0.9,0,1,9,1507,12.509
0.9,0,1,10,2010,16.685
0.9,0,1,11,2171,18.021
1.0,0,1,12,2,0.017
1.0,0,1,13,2,0.017
1.0,0,1,14,1,0.008
1.0,0,1,15,0,0.0
1.0,0,1,16,1,0.008
1.0,0,1,17,2,0.017
1.0,0,1,18,2222,18.444
1.0,0,1,19,0,0.0
1.0,0,1,20,128,1.062
