Time,Channel,nodeId,ADCChannel,ADCData,ADCDataConverted
0.0,0,3,1,27,0.008
0.1,0,3,2,28,0.008
0.1,0,3,3,20,0.006
0.1,0,3,4,23,0.007
0.1,0,3,5,31,0.009
0.1,0,3,6,25,0.007
0.1,0,3,7,17,0.005
0.1,0,3,8,27,0.008
0.2,0,3,9,26,0.008
0.2,0,3,10,18,0.005
0.2,0,3,11,23,0.007
0.2,0,3,12,28,0.008
0.2,0,3,13,20,0.006
0.2,0,3,14,19,0.006
0.2,0,3,15,3052,0.914
0.3,0,3,16,25,0.007
0.3,0,3,17,7,0.002
0.3,0,3,18,17,0.005
0.3,0,3,19,23,0.007
0.3,0,3,20,15,0.004
0.3,0,3,21,12,0.004
0.3,0,3,22,23,0.007
0.4,0,3,23,22,0.007
0.4,0,3,24,13,0.004
0.4,0,3,25,19,0.006
0.4,0,3,26,20,0.006
0.4,0,3,27,15,0.004
0.4,0,3,28,13,0.004
0.4,0,3,29,23,0.007
0.5,0,3,30,19,0.006
0.5,0,3,31,14,0.004
0.5,0,3,32,24,0.007
0.5,0,3,1,29,0.009
0.5,0,3,2,21,0.006
0.5,0,3,3,24,0.007
0.5,0,3,4,30,0.009
0.6,0,3,5,28,0.008
0.6,0,3,6,19,0.006
0.6,0,3,7,24,0.007
0.6,0,3,8,36,0.011
0.6,0,3,9,22,0.007
0.6,0,3,10,20,0.006
0.6,0,3,11,27,0.008
0.7,0,3,12,28,0.008
0.7,0,3,13,16,0.005
0.7,0,3,14,21,0.006
0.7,0,3,15,3051,0.913
0.7,0,3,16,20,0.006
0.7,0,3,17,9,0.003
0.7,0,3,18,19,0.006
0.8,0,3,19,25,0.007
0.8,0,3,20,16,0.005
0.8,0,3,21,16,0.005
0.8,0,3,22,15,0.004
0.8,0,3,23,19,0.006
0.8,0,3,24,11,0.003
0.8,0,3,25,22,0.007
0.9,0,3,26,15,0.004
0.9,0,3,27,12,0.004
0.9,0,3,28,15,0.004
0.9,0,3,29,23,0.007
0.9,0,3,30,18,0.005
0.9,0,3,31,16,0.005
0.9,0,3,32,24,0.007
1.0,0,3,1,26,0.008
1.0,0,3,2,24,0.007
1.0,0,3,3,21,0.006
1.0,0,3,4,28,0.008
1.0,0,3,5,25,0.007
1.0,0,3,6,20,0.006
1.0,0,3,7,28,0.008
1.1,0,3,8,31,0.009
1.1,0,3,9,19,0.006
1.1,0,3,10,22,0.007
1.1,0,3,11,26,0.008
1.1,0,3,12,24,0.007
1.1,0,3,13,17,0.005
1.1,0,3,14,25,0.007
1.2,0,3,15,3055,0.914
1.2,0,3,16,16,0.005
1.2,0,3,17,12,0.004
1.2,0,3,18,24,0.007
1.2,0,3,19,19,0.006
1.2,0,3,20,13,0.004
1.2,0,3,21,23,0.007
1.3,0,3,22,24,0.007
1.3,0,3,23,15,0.004
1.3,0,3,24,15,0.004
1.3,0,3,25,26,0.008
1.3,0,3,26,19,0.006
1.3,0,3,27,12,0.004
1.3,0,3,28,20,0.006
1.4,0,3,29,25,0.007
1.4,0,3,30,14,0.004
1.4,0,3,31,18,0.005
1.4,0,3,32,32,0.01
1.4,0,3,1,23,0.007
1.4,0,3,2,15,0.004
1.4,0,3,3,25,0.007
1.5,0,3,4,30,0.009
1.5,0,3,5,24,0.007
1.5,0,3,6,24,0.007
1.5,0,3,7,32,0.01
1.5,0,3,8,24,0.007
1.5,0,3,9,16,0.005
1.5,0,3,10,24,0.007
1.6,0,3,11,31,0.009
1.6,0,3,12,24,0.007
1.6,0,3,13,18,0.005
1.6,0,3,14,28,0.008
1.6,0,3,15,3051,0.913
1.6,0,3,16,10,0.003
1.6,0,3,17,23,0.007
1.7,0,3,18,26,0.008
1.7,0,3,19,7,0.002
1.7,0,3,20,15,0.004
1.7,0,3,21,15,0.004
1.7,0,3,22,18,0.005
1.7,0,3,23,12,0.004
1.7,0,3,24,20,0.006
1.8,0,3,25,19,0.006
1.8,0,3,26,16,0.005
1.8,0,3,27,11,0.003
1.8,0,3,28,22,0.007
1.8,0,3,29,19,0.006
1.8,0,3,30,9,0.003
1.8,0,3,31,24,0.007
1.9,0,3,32,33,0.01
1.9,0,3,1,18,0.005
1.9,0,3,2,18,0.005
1.9,0,3,3,28,0.008
1.9,0,3,4,24,0.007
1.9,0,3,5,18,0.005
1.9,0,3,6,29,0.009
2.0,0,3,7,31,0.009
2.0,0,3,8,15,0.004
2.0,0,3,9,21,0.006
2.0,0,3,10,29,0.009
2.0,0,3,11,24,0.007
2.0,0,3,12,19,0.006
2.0,0,3,13,22,0.007
2.1,0,3,14,30,0.009
2.1,0,3,15,3050,0.913
2.1,0,3,16,11,0.003
2.1,0,3,17,32,0.01
2.1,0,3,18,26,0.008
2.1,0,3,19,6,0.002
2.2,0,3,20,16,0.005
2.2,0,3,21,26,0.008
2.2,0,3,22,15,0.004
2.2,0,3,23,15,0.004
2.2,0,3,24,21,0.006
2.2,0,3,25,24,0.007
2.2,0,3,26,13,0.004
2.3,0,3,27,15,0.004
2.3,0,3,28,24,0.007
2.3,0,3,29,20,0.006
2.3,0,3,30,12,0.004
2.3,0,3,31,24,0.007
2.3,0,3,32,23,0.007
