Time,Channel,nodeId,ADCChannel,ADCData,ADCDataConverted
31.3,0,id,3,41,41
31.3,0,id,4,49,49
31.3,0,id,5,6,6
31.3,0,id,6,71,71
31.3,0,id,7,22,22
31.3,0,id,8,71,71
31.3,0,id,9,66,66
31.3,0,id,10,88,88
31.3,0,id,11,2,2
31.3,0,id,12,19,19
31.3,0,id,13,33,33
31.3,0,id,14,66,66
31.3,0,id,15,51,51
31.3,0,id,16,63,63
31.3,0,id,17,67,67
31.3,0,id,18,83,83
31.3,0,id,19,51,51
31.3,0,id,20,72,72
31.3,0,id,21,6,6
31.3,0,id,22,32,32
31.3,0,id,23,24,24
31.3,0,id,24,43,43
31.3,0,id,25,30,30
31.3,0,id,26,36,36
31.3,0,id,27,55,55
31.3,0,id,28,96,96
31.3,0,id,29,95,95
31.3,0,id,30,31,31
31.3,0,id,31,74,74
31.3,0,id,32,0,0
31.3,0,id,33,29,29
31.3,0,id,34,66,66
32.3,0,id,3,31,31
32.3,0,id,4,59,59
32.3,0,id,5,18,18
32.3,0,id,6,55,55
32.3,0,id,7,7,7
32.3,0,id,8,16,16
32.3,0,id,9,94,94
32.3,0,id,10,13,13
32.3,0,id,11,68,68
32.3,0,id,12,74,74
32.3,0,id,13,71,71
32.3,0,id,14,69,69
32.3,0,id,15,16,16
32.3,0,id,16,32,32
32.3,0,id,17,39,39
32.3,0,id,18,65,65
32.3,0,id,19,22,22
32.3,0,id,20,44,44
32.3,0,id,21,2,2
32.3,0,id,22,75,75
32.3,0,id,23,40,40
32.3,0,id,24,86,86
32.3,0,id,25,33,33
32.3,0,id,26,84,84
32.3,0,id,27,79,79
32.3,0,id,28,5,5
32.3,0,id,29,23,23
32.3,0,id,30,38,38
32.3,0,id,31,49,49
32.3,0,id,32,41,41
32.3,0,id,33,70,70
32.3,0,id,34,83,83
33.4,0,id,3,5,5
33.4,0,id,4,98,98
33.4,0,id,5,72,72
33.4,0,id,6,29,29
33.4,0,id,7,38,38
33.4,0,id,8,39,39
33.4,0,id,9,17,17
33.4,0,id,10,85,85
33.4,0,id,11,77,77
33.4,0,id,12,40,40
33.4,0,id,13,41,41
33.4,0,id,14,2,2
33.4,0,id,15,50,50
33.4,0,id,16,87,87
33.4,0,id,17,11,11
33.4,0,id,18,96,96
33.4,0,id,19,37,37
33.4,0,id,20,81,81
33.4,0,id,21,29,29
33.4,0,id,22,87,87
33.4,0,id,23,15,15
33.4,0,id,24,59,59
33.4,0,id,25,48,48
33.4,0,id,26,14,14
33.4,0,id,27,16,16
33.4,0,id,28,86,86
33.4,0,id,29,36,36
33.4,0,id,30,20,20
33.4,0,id,31,53,53
33.4,0,id,32,62,62
33.4,0,id,33,61,61
33.4,0,id,34,94,94
34.4,0,id,3,3,3
34.4,0,id,4,86,86
34.4,0,id,5,17,17
34.4,0,id,6,20,20
34.4,0,id,7,78,78
34.4,0,id,8,43,43
34.4,0,id,9,29,29
34.4,0,id,10,69,69
34.4,0,id,11,92,92
34.4,0,id,12,39,39
34.4,0,id,13,34,34
34.4,0,id,14,17,17
34.4,0,id,15,52,52
34.4,0,id,16,75,75
34.4,0,id,17,65,65
34.4,0,id,18,85,85
34.4,0,id,19,70,70
34.4,0,id,20,22,22
34.4,0,id,21,67,67
34.4,0,id,22,12,12
34.4,0,id,23,69,69
34.4,0,id,24,93,93
34.4,0,id,25,80,80
34.4,0,id,26,59,59
34.4,0,id,27,12,12
34.4,0,id,28,43,43
34.4,0,id,29,44,44
34.4,0,id,30,23,23
34.4,0,id,31,64,64
34.4,0,id,32,92,92
34.4,0,id,33,31,31
34.4,0,id,34,14,14
35.4,0,id,3,73,73
35.4,0,id,4,36,36
35.4,0,id,5,79,79
35.4,0,id,6,89,89
35.4,0,id,7,24,24
35.4,0,id,8,95,95
35.4,0,id,9,26,26
35.4,0,id,10,36,36
35.4,0,id,11,10,10
35.4,0,id,12,96,96
35.4,0,id,13,19,19
35.4,0,id,14,51,51
35.4,0,id,15,3,3
35.4,0,id,16,63,63
35.4,0,id,17,1,1
35.4,0,id,18,28,28
35.4,0,id,19,36,36
35.4,0,id,20,14,14
35.4,0,id,21,13,13
35.4,0,id,22,62,62
35.4,0,id,23,7,7
35.4,0,id,24,73,73
35.4,0,id,25,24,24
35.4,0,id,26,11,11
35.4,0,id,27,31,31
35.4,0,id,28,38,38
35.4,0,id,29,87,87
35.4,0,id,30,68,68
35.4,0,id,31,88,88
35.4,0,id,32,80,80
35.4,0,id,33,3,3
35.4,0,id,34,90,90
36.4,0,id,3,49,49
36.4,0,id,4,3,3
36.4,0,id,5,13,13
36.4,0,id,6,29,29
36.4,0,id,7,54,54
36.4,0,id,8,18,18
36.4,0,id,9,93,93
36.4,0,id,10,15,15
36.4,0,id,11,99,99
36.4,0,id,12,43,43
36.4,0,id,13,55,55
36.4,0,id,14,58,58
36.4,0,id,15,86,86
36.4,0,id,16,22,22
36.4,0,id,17,73,73
36.4,0,id,18,77,77
36.4,0,id,19,0,0
36.4,0,id,20,44,44
36.4,0,id,21,41,41
36.4,0,id,22,58,58
36.4,0,id,23,28,28
36.4,0,id,24,47,47
36.4,0,id,25,80,80
36.4,0,id,26,97,97
36.4,0,id,27,85,85
36.4,0,id,28,85,85
36.4,0,id,29,29,29
36.4,0,id,30,36,36
36.4,0,id,31,86,86
36.4,0,id,32,10,10
36.4,0,id,33,65,65
36.4,0,id,34,79,79
37.4,0,id,3,75,75
37.4,0,id,4,84,84
37.4,0,id,5,33,33
37.4,0,id,6,86,86
37.4,0,id,7,17,17
37.4,0,id,8,83,83
37.4,0,id,9,10,10
37.4,0,id,10,66,66
37.4,0,id,11,34,34
37.4,0,id,12,13,13
37.4,0,id,13,81,81
37.4,0,id,14,0,0
37.4,0,id,15,92,92
37.4,0,id,16,58,58
37.4,0,id,17,95,95
37.4,0,id,18,56,56
37.4,0,id,19,41,41
37.4,0,id,20,98,98
37.4,0,id,21,28,28
37.4,0,id,22,92,92
37.4,0,id,23,60,60
37.4,0,id,24,35,35
37.4,0,id,25,4,4
37.4,0,id,26,26,26
37.4,0,id,27,33,33
37.4,0,id,28,67,67
37.4,0,id,29,59,59
37.4,0,id,30,62,62
37.4,0,id,31,24,24
37.4,0,id,32,53,53
37.4,0,id,33,41,41
37.4,0,id,34,2,2
38.4,0,id,3,96,96
38.4,0,id,4,3,3
38.4,0,id,5,73,73
38.4,0,id,6,10,10
38.4,0,id,7,20,20
38.4,0,id,8,11,11
38.4,0,id,9,66,66
38.4,0,id,10,83,83
38.4,0,id,11,86,86
38.4,0,id,12,36,36
38.4,0,id,13,57,57
38.4,0,id,14,2,2
38.4,0,id,15,48,48
38.4,0,id,16,10,10
38.4,0,id,17,20,20
38.4,0,id,18,37,37
38.4,0,id,19,65,65
38.4,0,id,20,22,22
38.4,0,id,21,5,5
38.4,0,id,22,78,78
38.4,0,id,23,37,37
38.4,0,id,24,52,52
38.4,0,id,25,8,8
38.4,0,id,26,61,61
38.4,0,id,27,6,6
38.4,0,id,28,19,19
38.4,0,id,29,94,94
38.4,0,id,30,74,74
38.4,0,id,31,79,79
38.4,0,id,32,79,79
38.4,0,id,33,18,18
38.4,0,id,34,94,94
39.4,0,id,3,90,90
39.4,0,id,4,55,55
39.4,0,id,5,28,28
39.4,0,id,6,12,12
39.4,0,id,7,56,56
39.4,0,id,8,92,92
39.4,0,id,9,92,92
39.4,0,id,10,40,40
39.4,0,id,11,25,25
39.4,0,id,12,37,37
39.4,0,id,13,14,14
39.4,0,id,14,35,35
39.4,0,id,15,19,19
39.4,0,id,16,93,93
39.4,0,id,17,77,77
39.4,0,id,18,99,99
39.4,0,id,19,42,42
39.4,0,id,20,65,65
39.4,0,id,21,48,48
39.4,0,id,22,85,85
39.4,0,id,23,20,20
39.4,0,id,24,19,19
39.4,0,id,25,28,28
39.4,0,id,26,26,26
39.4,0,id,27,55,55
39.4,0,id,28,2,2
39.4,0,id,29,50,50
39.4,0,id,30,26,26
39.4,0,id,31,94,94
39.4,0,id,32,44,44
39.4,0,id,33,94,94
39.4,0,id,34,79,79
40.4,0,id,3,48,48
40.4,0,id,4,32,32
40.4,0,id,5,43,43
40.4,0,id,6,70,70
40.4,0,id,7,82,82
40.4,0,id,8,19,19
40.4,0,id,9,7,7
40.4,0,id,10,78,78
40.4,0,id,11,28,28
40.4,0,id,12,13,13
40.4,0,id,13,33,33
40.4,0,id,14,28,28
40.4,0,id,15,81,81
40.4,0,id,16,19,19
40.4,0,id,17,20,20
40.4,0,id,18,52,52
40.4,0,id,19,34,34
40.4,0,id,20,60,60
40.4,0,id,21,54,54
40.4,0,id,22,32,32
40.4,0,id,23,56,56
40.4,0,id,24,59,59
40.4,0,id,25,80,80
40.4,0,id,26,22,22
40.4,0,id,27,12,12
40.4,0,id,28,10,10
40.4,0,id,29,43,43
40.4,0,id,30,86,86
40.4,0,id,31,99,99
40.4,0,id,32,53,53
40.4,0,id,33,51,51
40.4,0,id,34,61,61
41.4,0,id,3,74,74
